ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1
exercise-1-demand-rq4-base-gpt4o-2024-11-12T15-19-16,demand,,1,2024-11-12T15-19-16,1,,,,,,,,,,,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'to': 'Computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Date', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'installationcount', 'label': 'fp'}, {'from': 'Computer', 'to': 'Model', 'label': 'tp'}, {'from': 'Model', 'to': 'Brand', 'label': 'fp'}, {'from': 'Brand', 'to': 'Supplier', 'label': 'tp'}, {'from': 'Supplier', 'to': 'City', 'label': 'tp'}, {'from': 'City', 'to': 'Address', 'label': 'fp'}, {'from': 'Software', 'to': 'Description', 'label': 'tp'}, {'from': 'Description', 'to': 'Type', 'label': 'fp'}]","['address', 'city', 'type', 'software', 'model', 'date', 'supplier', 'description', 'computer', 'installation', 'brand']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,11,0,1,0.9167,1.0,0.9565
exercise-1-demand-rq4-base-gpt4o-2024-11-12T15-19-42,demand,,1,2024-11-12T15-19-42,1,,,,,,,,,,,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'to': 'Computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Date', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'installationcount', 'label': 'fp'}, {'from': 'Computer', 'to': 'Model', 'label': 'tp'}, {'from': 'Model', 'to': 'Brand', 'label': 'fp'}, {'from': 'Brand', 'to': 'Supplier', 'label': 'tp'}, {'from': 'Supplier', 'to': 'City', 'label': 'tp'}, {'from': 'City', 'to': 'Address', 'label': 'fp'}, {'from': 'Software', 'to': 'Description', 'label': 'tp'}, {'from': 'Description', 'to': 'Type', 'label': 'fp'}]","['model', 'description', 'software', 'address', 'computer', 'installation', 'type', 'supplier', 'brand', 'date', 'city']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,11,0,1,0.9167,1.0,0.9565
exercise-1-demand-rq4-base-gpt4o-2024-11-12T15-20-00,demand,,1,2024-11-12T15-20-00,1,,,,,,,,,,,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'to': 'Computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Date', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'installationcount', 'label': 'fp'}, {'from': 'Computer', 'to': 'Model', 'label': 'tp'}, {'from': 'Model', 'to': 'Brand', 'label': 'fp'}, {'from': 'Brand', 'to': 'Supplier', 'label': 'tp'}, {'from': 'Supplier', 'to': 'City', 'label': 'tp'}, {'from': 'City', 'to': 'Address', 'label': 'fp'}, {'from': 'Software', 'to': 'Description', 'label': 'tp'}, {'from': 'Description', 'to': 'Type', 'label': 'fp'}]","['brand', 'installation', 'description', 'software', 'computer', 'type', 'supplier', 'model', 'city', 'date', 'address']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,11,0,1,0.9167,1.0,0.9565
exercise-1-demand-rq4-base-gpt4o-2024-11-12T15-20-18,demand,,1,2024-11-12T15-20-18,1,,,,,,,,,,,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'to': 'Computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Date', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'installationcount', 'label': 'fp'}, {'from': 'Computer', 'to': 'Model', 'label': 'tp'}, {'from': 'Model', 'to': 'Brand', 'label': 'fp'}, {'from': 'Brand', 'to': 'Supplier', 'label': 'tp'}, {'from': 'Supplier', 'to': 'City', 'label': 'tp'}, {'from': 'City', 'to': 'Address', 'label': 'fp'}, {'from': 'Software', 'to': 'Description', 'label': 'tp'}, {'from': 'Description', 'to': 'Type', 'label': 'fp'}]","['city', 'brand', 'computer', 'type', 'supplier', 'description', 'installation', 'date', 'address', 'software', 'model']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,11,0,1,0.9167,1.0,0.9565
exercise-1-demand-rq4-base-gpt4o-2024-11-12T15-20-38,demand,,1,2024-11-12T15-20-38,1,,,,,,,,,,,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'to': 'Computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Date', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'installationcount', 'label': 'fp'}, {'from': 'Computer', 'to': 'Model', 'label': 'tp'}, {'from': 'Model', 'to': 'Brand', 'label': 'fp'}, {'from': 'Brand', 'to': 'Supplier', 'label': 'tp'}, {'from': 'Supplier', 'to': 'City', 'label': 'tp'}, {'from': 'City', 'to': 'Address', 'label': 'fp'}, {'from': 'Software', 'to': 'Description', 'label': 'tp'}, {'from': 'Description', 'to': 'Type', 'label': 'fp'}]","['type', 'computer', 'city', 'date', 'description', 'supplier', 'installation', 'software', 'address', 'brand', 'model']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,11,0,1,0.9167,1.0,0.9565
exercise-1-demand-rq4-base-gpt4o-2024-11-12T18-34-36,demand,,1,2024-11-12T18-34-36,1,,,,,,,,,,,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'to': 'Computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Date', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'installationcount', 'label': 'fp'}, {'from': 'Computer', 'to': 'Model', 'label': 'tp'}, {'from': 'Model', 'to': 'Brand', 'label': 'fp'}, {'from': 'Brand', 'to': 'Supplier', 'label': 'tp'}, {'from': 'Supplier', 'to': 'City', 'label': 'tp'}, {'from': 'City', 'to': 'Address', 'label': 'fp'}, {'from': 'Software', 'to': 'Description', 'label': 'tp'}, {'from': 'Description', 'to': 'Type', 'label': 'fp'}]","['supplier', 'model', 'software', 'address', 'type', 'date', 'description', 'brand', 'city', 'installation', 'computer']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,11,0,1,0.9167,1.0,0.9565
exercise-1-demand-rq4-base-gpt4o-2024-11-12T18-34-55,demand,,1,2024-11-12T18-34-55,1,,,,,,,,,,,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'to': 'Computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Date', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'installationcount', 'label': 'fp'}, {'from': 'Computer', 'to': 'Model', 'label': 'tp'}, {'from': 'Model', 'to': 'Brand', 'label': 'fp'}, {'from': 'Brand', 'to': 'Supplier', 'label': 'tp'}, {'from': 'Supplier', 'to': 'City', 'label': 'tp'}, {'from': 'City', 'to': 'Address', 'label': 'fp'}, {'from': 'Software', 'to': 'Description', 'label': 'tp'}, {'from': 'Description', 'to': 'Type', 'label': 'fp'}]","['computer', 'software', 'model', 'date', 'type', 'city', 'address', 'installation', 'supplier', 'brand', 'description']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,11,0,1,0.9167,1.0,0.9565
exercise-1-demand-rq4-base-gpt4o-2024-11-12T18-35-10,demand,,1,2024-11-12T18-35-10,1,,,,,,,,,,,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'to': 'Computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Date', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'installationcount', 'label': 'fp'}, {'from': 'Computer', 'to': 'Model', 'label': 'tp'}, {'from': 'Model', 'to': 'Brand', 'label': 'fp'}, {'from': 'Brand', 'to': 'Supplier', 'label': 'tp'}, {'from': 'Supplier', 'to': 'City', 'label': 'tp'}, {'from': 'City', 'to': 'Address', 'label': 'fp'}, {'from': 'Software', 'to': 'Description', 'label': 'tp'}, {'from': 'Description', 'to': 'Type', 'label': 'fp'}]","['software', 'installation', 'supplier', 'type', 'computer', 'description', 'address', 'brand', 'date', 'model', 'city']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,11,0,1,0.9167,1.0,0.9565
exercise-1-demand-rq4-base-gpt4o-2024-11-12T18-35-30,demand,,1,2024-11-12T18-35-30,1,,,,,,,,,,,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'to': 'Computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Date', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'installationcount', 'label': 'fp'}, {'from': 'Computer', 'to': 'Model', 'label': 'tp'}, {'from': 'Model', 'to': 'Brand', 'label': 'fp'}, {'from': 'Brand', 'to': 'Supplier', 'label': 'tp'}, {'from': 'Supplier', 'to': 'City', 'label': 'tp'}, {'from': 'City', 'to': 'Address', 'label': 'fp'}, {'from': 'Software', 'to': 'Description', 'label': 'tp'}, {'from': 'Description', 'to': 'Type', 'label': 'fp'}]","['software', 'brand', 'city', 'model', 'installation', 'description', 'supplier', 'computer', 'date', 'type', 'address']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,11,0,1,0.9167,1.0,0.9565
exercise-1-demand-rq4-base-gpt4o-2024-11-12T18-35-51,demand,,1,2024-11-12T18-35-51,1,,,,,,,,,,,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'to': 'Computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'Date', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'installationcount', 'label': 'fp'}, {'from': 'Computer', 'to': 'Model', 'label': 'tp'}, {'from': 'Model', 'to': 'Brand', 'label': 'fp'}, {'from': 'Brand', 'to': 'Supplier', 'label': 'tp'}, {'from': 'Supplier', 'to': 'City', 'label': 'tp'}, {'from': 'City', 'to': 'Address', 'label': 'fp'}, {'from': 'Software', 'to': 'Description', 'label': 'tp'}, {'from': 'Description', 'to': 'Type', 'label': 'fp'}]","['computer', 'type', 'model', 'city', 'date', 'address', 'supplier', 'installation', 'software', 'brand', 'description']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,11,0,1,0.9167,1.0,0.9565
