ex_name,ex_version,ex_prompt_version,timestamp,index,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1
exercise-1,demand,rq4-example,2024-11-12T15-36-55,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,,"[{'from': 'computer', 'label': 'tp', 'to': 'model'}, {'from': 'model', 'label': 'fp', 'to': 'brand'}, {'from': 'brand', 'label': 'tp', 'to': 'supplier'}, {'from': 'supplier', 'label': 'tp', 'to': 'city'}, {'from': 'supplier', 'label': 'tp', 'to': 'address'}, {'from': 'software', 'label': 'tp', 'to': 'description'}, {'from': 'software', 'label': 'tp', 'to': 'type'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'computer'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'software'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'date'}]","['model', 'type', 'installation', 'brand', 'software', 'description', 'supplier', 'computer', 'date', 'city', 'address']","['surname', 'name']","['lastname', 'firstname']",8,4,3,0.8,0.8,0.8,11,6,3,0.8571,0.8571,0.8158
exercise-1,demand,rq4-example,2024-11-12T15-37-14,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,,"[{'from': 'computer', 'label': 'tp', 'to': 'model'}, {'from': 'model', 'label': 'fp', 'to': 'brand'}, {'from': 'brand', 'label': 'tp', 'to': 'supplier'}, {'from': 'supplier', 'label': 'tp', 'to': 'city'}, {'from': 'supplier', 'label': 'tp', 'to': 'address'}, {'from': 'software', 'label': 'tp', 'to': 'description'}, {'from': 'software', 'label': 'tp', 'to': 'type'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'computer'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'software'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'date'}]","['date', 'description', 'type', 'supplier', 'model', 'software', 'address', 'installation', 'city', 'computer', 'brand']","['surname', 'name']","['lastname', 'firstname']",8,4,3,0.8,0.8,0.8,11,6,3,0.8571,0.8571,0.8158
exercise-1,demand,rq4-example,2024-11-12T15-37-34,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,,"[{'from': 'computer', 'label': 'tp', 'to': 'model'}, {'from': 'model', 'label': 'fp', 'to': 'brand'}, {'from': 'brand', 'label': 'tp', 'to': 'supplier'}, {'from': 'supplier', 'label': 'tp', 'to': 'city'}, {'from': 'supplier', 'label': 'tp', 'to': 'address'}, {'from': 'software', 'label': 'tp', 'to': 'description'}, {'from': 'software', 'label': 'tp', 'to': 'type'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'computer'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'software'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'date'}]","['date', 'address', 'description', 'city', 'computer', 'installation', 'model', 'software', 'type', 'supplier', 'brand']","['surname', 'name']","['lastname', 'firstname']",8,4,3,0.8,0.8,0.8,11,6,3,0.8571,0.8571,0.8158
exercise-1,demand,rq4-example,2024-11-12T15-38-26,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,,"[{'from': 'computer', 'label': 'tp', 'to': 'model'}, {'from': 'model', 'label': 'fp', 'to': 'brand'}, {'from': 'brand', 'label': 'tp', 'to': 'supplier'}, {'from': 'supplier', 'label': 'tp', 'to': 'city'}, {'from': 'supplier', 'label': 'tp', 'to': 'address'}, {'from': 'software', 'label': 'tp', 'to': 'description'}, {'from': 'software', 'label': 'tp', 'to': 'type'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'computer'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'software'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'date'}]","['computer', 'supplier', 'address', 'model', 'brand', 'software', 'description', 'date', 'installation', 'city', 'type']","['surname', 'name']","['lastname', 'firstname']",8,4,3,0.8,0.8,0.8,11,6,3,0.8571,0.8571,0.8158
exercise-1,demand,rq4-example,2024-11-12T15-38-45,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,,"[{'from': 'computer', 'label': 'tp', 'to': 'model'}, {'from': 'model', 'label': 'fp', 'to': 'brand'}, {'from': 'brand', 'label': 'tp', 'to': 'supplier'}, {'from': 'supplier', 'label': 'tp', 'to': 'city'}, {'from': 'supplier', 'label': 'tp', 'to': 'address'}, {'from': 'software', 'label': 'tp', 'to': 'description'}, {'from': 'software', 'label': 'tp', 'to': 'type'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'computer'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'software'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'date'}]","['installation', 'city', 'computer', 'address', 'date', 'brand', 'description', 'supplier', 'model', 'software', 'type']","['surname', 'name']","['lastname', 'firstname']",8,4,3,0.8,0.8,0.8,11,6,3,0.8571,0.8571,0.8158
exercise-2,demand,rq4-example,2024-11-12T15-39-07,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'articleName', 'label': 'fp', 'to': 'type'}, {'from': 'store', 'label': 'tp', 'to': 'storeName'}, {'from': 'store', 'label': 'tp', 'to': 'address'}, {'from': 'store', 'label': 'tp', 'to': 'region'}, {'from': 'region', 'label': 'tp', 'to': 'state'}, {'from': 'state', 'label': 'tp', 'to': 'country'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'unitPrice'}, {'from': 'PURCHASE', 'label': 'fp', 'to': 'articleName'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'store'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'date'}]","['state', 'region', 'storename', 'store', 'quantity', 'date', 'unitprice', 'purchase', 'country', 'articlename', 'address', 'type', 'revenue']","['surname', 'name']",['article'],10,4,3,0.8333,0.7692,0.8,11,6,3,0.8571,0.9286,0.963
exercise-2,demand,rq4-example,2024-11-12T15-39-28,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'articleName', 'label': 'fp', 'to': 'type'}, {'from': 'store', 'label': 'tp', 'to': 'storeName'}, {'from': 'store', 'label': 'tp', 'to': 'address'}, {'from': 'store', 'label': 'tp', 'to': 'region'}, {'from': 'region', 'label': 'tp', 'to': 'state'}, {'from': 'state', 'label': 'tp', 'to': 'country'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'unitPrice'}, {'from': 'PURCHASE', 'label': 'fp', 'to': 'articleName'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'store'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'date'}]","['state', 'articlename', 'unitprice', 'quantity', 'country', 'purchase', 'region', 'date', 'storename', 'revenue', 'address', 'type', 'store']","['surname', 'name']",['article'],10,4,3,0.8333,0.7692,0.8,11,6,3,0.8571,0.9286,0.963
exercise-2,demand,rq4-example,2024-11-12T15-39-47,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'articleName', 'label': 'fp', 'to': 'type'}, {'from': 'store', 'label': 'tp', 'to': 'storeName'}, {'from': 'store', 'label': 'tp', 'to': 'address'}, {'from': 'store', 'label': 'tp', 'to': 'region'}, {'from': 'region', 'label': 'tp', 'to': 'state'}, {'from': 'state', 'label': 'tp', 'to': 'country'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'unitPrice'}, {'from': 'PURCHASE', 'label': 'fp', 'to': 'articleName'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'store'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'date'}]","['storename', 'address', 'store', 'purchase', 'articlename', 'unitprice', 'revenue', 'country', 'region', 'quantity', 'date', 'state', 'type']","['surname', 'name']",['article'],10,4,3,0.8333,0.7692,0.8,11,6,3,0.8571,0.9286,0.963
exercise-2,demand,rq4-example,2024-11-12T15-40-07,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'articleName', 'label': 'fp', 'to': 'type'}, {'from': 'store', 'label': 'tp', 'to': 'storeName'}, {'from': 'store', 'label': 'tp', 'to': 'address'}, {'from': 'store', 'label': 'tp', 'to': 'region'}, {'from': 'region', 'label': 'tp', 'to': 'state'}, {'from': 'state', 'label': 'tp', 'to': 'country'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'unitPrice'}, {'from': 'PURCHASE', 'label': 'fp', 'to': 'articleName'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'store'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'date'}]","['store', 'revenue', 'address', 'region', 'unitprice', 'state', 'country', 'purchase', 'articlename', 'storename', 'date', 'quantity', 'type']","['surname', 'name']",['article'],10,4,3,0.8333,0.7692,0.8,11,6,3,0.8571,0.9286,0.963
exercise-2,demand,rq4-example,2024-11-12T15-40-32,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'articleName', 'label': 'fp', 'to': 'type'}, {'from': 'store', 'label': 'tp', 'to': 'storeName'}, {'from': 'store', 'label': 'tp', 'to': 'address'}, {'from': 'store', 'label': 'tp', 'to': 'region'}, {'from': 'region', 'label': 'tp', 'to': 'state'}, {'from': 'state', 'label': 'tp', 'to': 'country'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'unitPrice'}, {'from': 'PURCHASE', 'label': 'fp', 'to': 'articleName'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'store'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'date'}]","['revenue', 'state', 'country', 'store', 'region', 'articlename', 'quantity', 'purchase', 'storename', 'address', 'unitprice', 'date', 'type']","['surname', 'name']",['article'],10,4,3,0.8333,0.7692,0.8,11,6,3,0.8571,0.9286,0.963
