ex_name,ex_version,ex_prompt_version,timestamp,index,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1
exercise-1,demand,rq4-base,2024-11-12T15-19-16,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'label': 'tp', 'to': 'Computer'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'Software'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'Date'}, {'from': 'INSTALLATION', 'label': 'fp', 'to': 'installationcount'}, {'from': 'Computer', 'label': 'tp', 'to': 'Model'}, {'from': 'Model', 'label': 'fp', 'to': 'Brand'}, {'from': 'Brand', 'label': 'tp', 'to': 'Supplier'}, {'from': 'Supplier', 'label': 'tp', 'to': 'City'}, {'from': 'City', 'label': 'fp', 'to': 'Address'}, {'from': 'Software', 'label': 'tp', 'to': 'Description'}, {'from': 'Description', 'label': 'fp', 'to': 'Type'}]","['supplier', 'city', 'type', 'model', 'date', 'installation', 'software', 'brand', 'address', 'description', 'computer']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,14,0,8,0.9167,1.0,0.9565
exercise-1,demand,rq4-base,2024-11-12T15-19-42,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'label': 'tp', 'to': 'Computer'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'Software'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'Date'}, {'from': 'INSTALLATION', 'label': 'fp', 'to': 'installationcount'}, {'from': 'Computer', 'label': 'tp', 'to': 'Model'}, {'from': 'Model', 'label': 'fp', 'to': 'Brand'}, {'from': 'Brand', 'label': 'tp', 'to': 'Supplier'}, {'from': 'Supplier', 'label': 'tp', 'to': 'City'}, {'from': 'City', 'label': 'fp', 'to': 'Address'}, {'from': 'Software', 'label': 'tp', 'to': 'Description'}, {'from': 'Description', 'label': 'fp', 'to': 'Type'}]","['city', 'computer', 'description', 'date', 'model', 'supplier', 'brand', 'software', 'installation', 'type', 'address']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,14,0,8,0.9167,1.0,0.9565
exercise-1,demand,rq4-base,2024-11-12T15-20-00,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'label': 'tp', 'to': 'Computer'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'Software'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'Date'}, {'from': 'INSTALLATION', 'label': 'fp', 'to': 'installationcount'}, {'from': 'Computer', 'label': 'tp', 'to': 'Model'}, {'from': 'Model', 'label': 'fp', 'to': 'Brand'}, {'from': 'Brand', 'label': 'tp', 'to': 'Supplier'}, {'from': 'Supplier', 'label': 'tp', 'to': 'City'}, {'from': 'City', 'label': 'fp', 'to': 'Address'}, {'from': 'Software', 'label': 'tp', 'to': 'Description'}, {'from': 'Description', 'label': 'fp', 'to': 'Type'}]","['model', 'installation', 'address', 'date', 'description', 'brand', 'city', 'supplier', 'type', 'software', 'computer']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,14,0,8,0.9167,1.0,0.9565
exercise-1,demand,rq4-base,2024-11-12T15-20-18,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'label': 'tp', 'to': 'Computer'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'Software'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'Date'}, {'from': 'INSTALLATION', 'label': 'fp', 'to': 'installationcount'}, {'from': 'Computer', 'label': 'tp', 'to': 'Model'}, {'from': 'Model', 'label': 'fp', 'to': 'Brand'}, {'from': 'Brand', 'label': 'tp', 'to': 'Supplier'}, {'from': 'Supplier', 'label': 'tp', 'to': 'City'}, {'from': 'City', 'label': 'fp', 'to': 'Address'}, {'from': 'Software', 'label': 'tp', 'to': 'Description'}, {'from': 'Description', 'label': 'fp', 'to': 'Type'}]","['type', 'installation', 'brand', 'supplier', 'address', 'software', 'model', 'city', 'computer', 'description', 'date']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,14,0,8,0.9167,1.0,0.9565
exercise-1,demand,rq4-base,2024-11-12T15-20-38,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,['installationcount'],"[{'from': 'INSTALLATION', 'label': 'tp', 'to': 'Computer'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'Software'}, {'from': 'INSTALLATION', 'label': 'tp', 'to': 'Date'}, {'from': 'INSTALLATION', 'label': 'fp', 'to': 'installationcount'}, {'from': 'Computer', 'label': 'tp', 'to': 'Model'}, {'from': 'Model', 'label': 'fp', 'to': 'Brand'}, {'from': 'Brand', 'label': 'tp', 'to': 'Supplier'}, {'from': 'Supplier', 'label': 'tp', 'to': 'City'}, {'from': 'City', 'label': 'fp', 'to': 'Address'}, {'from': 'Software', 'label': 'tp', 'to': 'Description'}, {'from': 'Description', 'label': 'fp', 'to': 'Type'}]","['city', 'model', 'brand', 'supplier', 'address', 'date', 'description', 'software', 'installation', 'computer', 'type']",['installationcount'],[],7,3,4,0.6364,0.7,0.6667,14,0,8,0.9167,1.0,0.9565
exercise-2,demand,rq4-base,2024-11-12T15-20-56,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['quantity', 'revenue', 'unitprice']","[{'from': 'PURCHASE', 'label': 'tp', 'to': 'quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'unitprice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'Date'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'Article'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'Store'}, {'from': 'Article', 'label': 'tp', 'to': 'type'}, {'from': 'Store', 'label': 'tp', 'to': 'Region'}, {'from': 'Region', 'label': 'tp', 'to': 'State'}, {'from': 'State', 'label': 'tp', 'to': 'Country'}]","['date', 'unitprice', 'state', 'revenue', 'country', 'type', 'purchase', 'article', 'store', 'quantity', 'region']",[],"['address', 'storename', 'articlename']",10,3,0,1.0,0.7692,0.8696,14,2,0,1.0,0.7857,0.88
exercise-2,demand,rq4-base,2024-11-12T15-21-16,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,Purchase,"['quantity', 'revenue', 'unitprice']","[{'from': 'Purchase', 'label': 'tp', 'to': 'quantity'}, {'from': 'Purchase', 'label': 'tp', 'to': 'revenue'}, {'from': 'Purchase', 'label': 'tp', 'to': 'unitprice'}, {'from': 'Purchase', 'label': 'tp', 'to': 'Date'}, {'from': 'Purchase', 'label': 'tp', 'to': 'Article'}, {'from': 'Purchase', 'label': 'tp', 'to': 'Store'}, {'from': 'Article', 'label': 'tp', 'to': 'type'}, {'from': 'Store', 'label': 'tp', 'to': 'Region'}, {'from': 'Region', 'label': 'tp', 'to': 'State'}, {'from': 'State', 'label': 'tp', 'to': 'Country'}]","['date', 'type', 'state', 'article', 'country', 'quantity', 'unitprice', 'revenue', 'purchase', 'region', 'store']",[],"['address', 'storename', 'articlename']",10,3,0,1.0,0.7692,0.8696,14,2,0,1.0,0.7857,0.88
exercise-2,demand,rq4-base,2024-11-12T15-21-44,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,Purchase,"['Quantity', 'Revenue', 'UnitPrice']","[{'from': 'Purchase', 'label': 'tp', 'to': 'Quantity'}, {'from': 'Purchase', 'label': 'tp', 'to': 'Revenue'}, {'from': 'Purchase', 'label': 'tp', 'to': 'UnitPrice'}, {'from': 'Purchase', 'label': 'tp', 'to': 'Date'}, {'from': 'Purchase', 'label': 'tp', 'to': 'Article'}, {'from': 'Purchase', 'label': 'tp', 'to': 'Store'}, {'from': 'Article', 'label': 'tp', 'to': 'type'}, {'from': 'Store', 'label': 'tp', 'to': 'StoreName'}, {'from': 'Store', 'label': 'tp', 'to': 'Address'}, {'from': 'Store', 'label': 'tp', 'to': 'Region'}, {'from': 'Region', 'label': 'tp', 'to': 'State'}, {'from': 'State', 'label': 'tp', 'to': 'Country'}]","['store', 'storename', 'country', 'revenue', 'purchase', 'date', 'state', 'unitprice', 'article', 'type', 'address', 'quantity', 'region']",[],['articlename'],12,1,0,1.0,0.9231,0.96,13,3,0,1.0,0.9286,0.963
exercise-2,demand,rq4-base,2024-11-12T15-21-59,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['Quantity', 'Revenue', 'UnitPrice']","[{'from': 'PURCHASE', 'label': 'tp', 'to': 'Quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'Revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'UnitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'Date'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'Article'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'Store'}, {'from': 'Article', 'label': 'tp', 'to': 'type'}, {'from': 'Store', 'label': 'tp', 'to': 'Region'}, {'from': 'Region', 'label': 'tp', 'to': 'State'}, {'from': 'State', 'label': 'tp', 'to': 'Country'}]","['store', 'unitprice', 'state', 'type', 'article', 'country', 'revenue', 'region', 'date', 'quantity', 'purchase']",[],"['articlename', 'storename', 'address']",10,3,0,1.0,0.7692,0.8696,14,2,0,1.0,0.7857,0.88
exercise-2,demand,rq4-base,2024-11-12T15-22-18,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,Purchase,"['Quantity', 'Revenue', 'UnitPrice']","[{'from': 'Purchase', 'label': 'tp', 'to': 'Store'}, {'from': 'Purchase', 'label': 'tp', 'to': 'Article'}, {'from': 'Purchase', 'label': 'tp', 'to': 'Date'}, {'from': 'Purchase', 'label': 'tp', 'to': 'Quantity'}, {'from': 'Purchase', 'label': 'tp', 'to': 'Revenue'}, {'from': 'Purchase', 'label': 'tp', 'to': 'UnitPrice'}, {'from': 'Store', 'label': 'tp', 'to': 'StoreName'}, {'from': 'Store', 'label': 'tp', 'to': 'Address'}, {'from': 'Store', 'label': 'tp', 'to': 'Region'}, {'from': 'Region', 'label': 'tp', 'to': 'State'}, {'from': 'State', 'label': 'tp', 'to': 'Country'}, {'from': 'Article', 'label': 'tp', 'to': 'ArticleName'}, {'from': 'Article', 'label': 'tp', 'to': 'type'}]","['unitprice', 'purchase', 'region', 'address', 'quantity', 'article', 'storename', 'country', 'date', 'revenue', 'articlename', 'type', 'state', 'store']",[],[],13,0,0,1.0,1.0,1.0,14,0,0,1.0,1.0,1.0
