ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,sql,rq5,1,2025-07-28T16-04-30,1,1.6295,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,,"[{'from': 'CodComputer', 'to': 'Brand', 'label': 'fp'}, {'from': 'CodComputer', 'to': 'Model', 'label': 'fp'}, {'from': 'Brand', 'to': 'SupplierName', 'label': 'fp'}, {'from': 'SupplierName', 'to': 'SupplierCity', 'label': 'fp'}, {'from': 'SupplierName', 'to': 'SupplierAddress', 'label': 'fp'}, {'from': 'CodSoftw', 'to': 'SoftwareDescription', 'label': 'fp'}, {'from': 'CodSoftw', 'to': 'Type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CodComputer', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'InstallationDate', 'label': 'fp'}]",[],"['softwaredescription', 'type', 'suppliername', 'brand', 'codsoftw', 'installationdate', 'codcomputer', 'suppliercity', 'installation', 'model', 'supplieraddress']","['suppliers.suppliername', 'installations', 'suppliers.supplieraddress', 'installations.installationdate', 'computer.model', 'software.type', 'computer.codcomputer', 'software.codsoftw', 'supplies.brand', 'software.softwaredescription', 'suppliers.suppliercity']",0,10,10,0.0,0.0,0,0,11,11,0.0,0.0,0,0,10,10,0,0,True,1,0,0,0,0,0,False
exercise-1,sql,rq5,1,2025-07-28T16-04-32,1,2.1858,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,,"[{'from': 'CodComputer', 'to': 'Brand', 'label': 'fp'}, {'from': 'CodComputer', 'to': 'Model', 'label': 'fp'}, {'from': 'Brand', 'to': 'SupplierName', 'label': 'fp'}, {'from': 'SupplierName', 'to': 'SupplierCity', 'label': 'fp'}, {'from': 'SupplierName', 'to': 'SupplierAddress', 'label': 'fp'}, {'from': 'CodSoftw', 'to': 'SoftwareDescription', 'label': 'fp'}, {'from': 'CodSoftw', 'to': 'Type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CodComputer', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'date', 'role': 'installation', 'label': 'fp'}]",[],"['softwaredescription', 'type', 'suppliername', 'date', 'brand', 'codsoftw', 'codcomputer', 'suppliercity', 'installation', 'model', 'supplieraddress']","['suppliers.suppliername', 'installations', 'suppliers.supplieraddress', 'installations.installationdate', 'computer.model', 'software.type', 'computer.codcomputer', 'software.codsoftw', 'supplies.brand', 'software.softwaredescription', 'suppliers.suppliercity']",0,10,10,0.0,0.0,0,0,11,11,0.0,0.0,0,0,10,10,0,0,True,1,0,0,0,0,0,True
exercise-1,sql,rq5,1,2025-07-28T16-04-34,1,2.0936,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,,"[{'from': 'CodComputer', 'to': 'Brand', 'label': 'fp'}, {'from': 'CodComputer', 'to': 'Model', 'label': 'fp'}, {'from': 'Brand', 'to': 'SupplierName', 'label': 'fp'}, {'from': 'SupplierName', 'to': 'SupplierCity', 'label': 'fp'}, {'from': 'SupplierName', 'to': 'SupplierAddress', 'label': 'fp'}, {'from': 'CodSoftw', 'to': 'SoftwareDescription', 'label': 'fp'}, {'from': 'CodSoftw', 'to': 'Type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CodComputer', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'date', 'role': 'installation', 'label': 'fp'}]",[],"['softwaredescription', 'type', 'suppliername', 'date', 'brand', 'codsoftw', 'codcomputer', 'suppliercity', 'installation', 'model', 'supplieraddress']","['suppliers.suppliername', 'installations', 'suppliers.supplieraddress', 'installations.installationdate', 'computer.model', 'software.type', 'computer.codcomputer', 'software.codsoftw', 'supplies.brand', 'software.softwaredescription', 'suppliers.suppliercity']",0,10,10,0.0,0.0,0,0,11,11,0.0,0.0,0,0,10,10,0,0,True,1,0,0,0,0,0,True
exercise-1,sql,rq5,1,2025-07-28T16-04-37,1,2.2317,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,,"[{'from': 'CodComputer', 'to': 'Brand', 'label': 'fp'}, {'from': 'CodComputer', 'to': 'Model', 'label': 'fp'}, {'from': 'Brand', 'to': 'SupplierName', 'label': 'fp'}, {'from': 'SupplierName', 'to': 'SupplierCity', 'label': 'fp'}, {'from': 'SupplierName', 'to': 'SupplierAddress', 'label': 'fp'}, {'from': 'CodSoftw', 'to': 'SoftwareDescription', 'label': 'fp'}, {'from': 'CodSoftw', 'to': 'Type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CodComputer', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'date', 'role': 'installation', 'label': 'fp'}]",[],"['softwaredescription', 'type', 'suppliername', 'date', 'brand', 'codsoftw', 'codcomputer', 'suppliercity', 'installation', 'model', 'supplieraddress']","['suppliers.suppliername', 'installations', 'suppliers.supplieraddress', 'installations.installationdate', 'computer.model', 'software.type', 'computer.codcomputer', 'software.codsoftw', 'supplies.brand', 'software.softwaredescription', 'suppliers.suppliercity']",0,10,10,0.0,0.0,0,0,11,11,0.0,0.0,0,0,10,10,0,0,True,1,0,0,0,0,0,True
exercise-1,sql,rq5,1,2025-07-28T16-04-39,1,1.9935,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,,"[{'from': 'CodComputer', 'to': 'Brand', 'label': 'fp'}, {'from': 'CodComputer', 'to': 'Model', 'label': 'fp'}, {'from': 'Brand', 'to': 'SupplierName', 'label': 'fp'}, {'from': 'SupplierName', 'to': 'SupplierCity', 'label': 'fp'}, {'from': 'SupplierName', 'to': 'SupplierAddress', 'label': 'fp'}, {'from': 'CodSoftw', 'to': 'SoftwareDescription', 'label': 'fp'}, {'from': 'CodSoftw', 'to': 'Type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CodComputer', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'date', 'role': 'installation', 'label': 'fp'}]",[],"['softwaredescription', 'type', 'suppliername', 'date', 'brand', 'codsoftw', 'codcomputer', 'suppliercity', 'installation', 'model', 'supplieraddress']","['suppliers.suppliername', 'installations', 'suppliers.supplieraddress', 'installations.installationdate', 'computer.model', 'software.type', 'computer.codcomputer', 'software.codsoftw', 'supplies.brand', 'software.softwaredescription', 'suppliers.suppliercity']",0,10,10,0.0,0.0,0,0,11,11,0.0,0.0,0,0,10,10,0,0,True,1,0,0,0,0,0,True
exercise-2,sql,rq5,2,2025-07-28T16-04-42,1,3.0202,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['quantity', 'revenue']","[{'from': 'artId', 'to': 'artName', 'label': 'fp'}, {'from': 'artId', 'to': 'unitPrice', 'label': 'fp'}, {'from': 'artId', 'to': 'typeId', 'label': 'fp'}, {'from': 'typeId', 'to': 'typeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeAddress', 'label': 'fp'}, {'from': 'storeId', 'to': 'regId', 'label': 'fp'}, {'from': 'regId', 'to': 'regionName', 'label': 'fp'}, {'from': 'regId', 'to': 'state', 'label': 'fp'}, {'from': 'regId', 'to': 'country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'fp'}]",['purchase'],"['state', 'regid', 'date', 'storeid', 'quantity', 'artid', 'unitprice', 'typeid', 'typename', 'artname', 'regionname', 'storeaddress', 'storename', 'revenue', 'country']","['articles.unitprice', 'purchase.date', 'purchase.revenue', 'articles.artid', 'stores.storename', 'stores.storeaddress', 'stores.storeid', 'regions.regid', 'types.typename', 'purchase.quantity', 'articles.artname', 'regions.state', 'types.typeid', 'regions.country', 'regions.regionname']",0,15,15,0.0,0.0,0,1,15,15,0.0625,0.0625,0.0625,0,15,15,3,2,False,0,0,0,0,0,0,False
exercise-2,sql,rq5,2,2025-07-28T16-04-45,1,3.0470,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['quantity', 'revenue']","[{'from': 'artId', 'to': 'artName', 'label': 'fp'}, {'from': 'artId', 'to': 'unitPrice', 'label': 'fp'}, {'from': 'artId', 'to': 'typeId', 'label': 'fp'}, {'from': 'typeId', 'to': 'typeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeAddress', 'label': 'fp'}, {'from': 'storeId', 'to': 'regId', 'label': 'fp'}, {'from': 'regId', 'to': 'regionName', 'label': 'fp'}, {'from': 'regId', 'to': 'state', 'label': 'fp'}, {'from': 'regId', 'to': 'country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'fp'}]",['purchase'],"['state', 'regid', 'date', 'storeid', 'quantity', 'artid', 'unitprice', 'typeid', 'typename', 'artname', 'regionname', 'storeaddress', 'storename', 'revenue', 'country']","['articles.unitprice', 'purchase.date', 'purchase.revenue', 'articles.artid', 'stores.storename', 'stores.storeaddress', 'stores.storeid', 'regions.regid', 'types.typename', 'purchase.quantity', 'articles.artname', 'regions.state', 'types.typeid', 'regions.country', 'regions.regionname']",0,15,15,0.0,0.0,0,1,15,15,0.0625,0.0625,0.0625,0,15,15,3,2,False,0,0,0,0,0,0,False
exercise-2,sql,rq5,2,2025-07-28T16-04-48,1,2.9841,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['quantity', 'revenue']","[{'from': 'artId', 'to': 'artName', 'label': 'fp'}, {'from': 'artId', 'to': 'unitPrice', 'label': 'fp'}, {'from': 'artId', 'to': 'typeId', 'label': 'fp'}, {'from': 'typeId', 'to': 'typeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeAddress', 'label': 'fp'}, {'from': 'storeId', 'to': 'regId', 'label': 'fp'}, {'from': 'regId', 'to': 'regionName', 'label': 'fp'}, {'from': 'regId', 'to': 'state', 'label': 'fp'}, {'from': 'regId', 'to': 'country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'fp'}]",['purchase'],"['state', 'regid', 'date', 'storeid', 'quantity', 'artid', 'unitprice', 'typeid', 'typename', 'artname', 'regionname', 'storeaddress', 'storename', 'revenue', 'country']","['articles.unitprice', 'purchase.date', 'purchase.revenue', 'articles.artid', 'stores.storename', 'stores.storeaddress', 'stores.storeid', 'regions.regid', 'types.typename', 'purchase.quantity', 'articles.artname', 'regions.state', 'types.typeid', 'regions.country', 'regions.regionname']",0,15,15,0.0,0.0,0,1,15,15,0.0625,0.0625,0.0625,0,15,15,3,2,False,0,0,0,0,0,0,False
exercise-2,sql,rq5,2,2025-07-28T16-04-51,1,3.1566,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['quantity', 'revenue']","[{'from': 'artId', 'to': 'artName', 'label': 'fp'}, {'from': 'artId', 'to': 'unitPrice', 'label': 'fp'}, {'from': 'artId', 'to': 'typeId', 'label': 'fp'}, {'from': 'typeId', 'to': 'typeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeAddress', 'label': 'fp'}, {'from': 'storeId', 'to': 'regId', 'label': 'fp'}, {'from': 'regId', 'to': 'regionName', 'label': 'fp'}, {'from': 'regId', 'to': 'state', 'label': 'fp'}, {'from': 'regId', 'to': 'country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'fp'}]",['purchase'],"['state', 'regid', 'date', 'storeid', 'quantity', 'artid', 'unitprice', 'typeid', 'typename', 'artname', 'regionname', 'storeaddress', 'storename', 'revenue', 'country']","['articles.unitprice', 'purchase.date', 'purchase.revenue', 'articles.artid', 'stores.storename', 'stores.storeaddress', 'stores.storeid', 'regions.regid', 'types.typename', 'purchase.quantity', 'articles.artname', 'regions.state', 'types.typeid', 'regions.country', 'regions.regionname']",0,15,15,0.0,0.0,0,1,15,15,0.0625,0.0625,0.0625,0,15,15,3,2,False,0,0,0,0,0,0,False
exercise-2,sql,rq5,2,2025-07-28T16-04-53,1,1.9388,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['quantity', 'revenue']","[{'from': 'artId', 'to': 'artName', 'label': 'fp'}, {'from': 'artId', 'to': 'unitPrice', 'label': 'fp'}, {'from': 'artId', 'to': 'typeId', 'label': 'fp'}, {'from': 'typeId', 'to': 'typeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeAddress', 'label': 'fp'}, {'from': 'storeId', 'to': 'regId', 'label': 'fp'}, {'from': 'regId', 'to': 'regionName', 'label': 'fp'}, {'from': 'regId', 'to': 'state', 'label': 'fp'}, {'from': 'regId', 'to': 'country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'fp'}]",['purchase'],"['state', 'regid', 'date', 'storeid', 'quantity', 'artid', 'unitprice', 'typeid', 'typename', 'artname', 'regionname', 'storeaddress', 'storename', 'revenue', 'country']","['articles.unitprice', 'purchase.date', 'purchase.revenue', 'articles.artid', 'stores.storename', 'stores.storeaddress', 'stores.storeid', 'regions.regid', 'types.typename', 'purchase.quantity', 'articles.artname', 'regions.state', 'types.typeid', 'regions.country', 'regions.regionname']",0,15,15,0.0,0.0,0,1,15,15,0.0625,0.0625,0.0625,0,15,15,3,2,False,0,0,0,0,0,0,False
